rank	word	normalized_word	count	subjects	files	first_seen	preview_path	audio_path	meaning	basic_form	accent	synonyms
78	unless	unless	3	Biology,SantaAI	Biology/39words.md,SantaAI/単語集/5月/知らない単語集0522.md,SantaAI/単語集/5月/知らない単語集0525.md	Biology/39words.md	Biology/39words_pronunciation/index.html	Biology/39words_pronunciation/audio/026_unless.mp3	〜でない限り		ən-LĔS	except if, if not, save when
79	upward	upward	3	EarthScience,Geology	EarthScience/47words.md,Geology/53words.md,Geology/54words.md	EarthScience/47words.md	EarthScience/47words_pronunciation/index.html	EarthScience/47words_pronunciation/audio/026_upward.mp3	上向きに；上方へ		ŬP-wərd	upwardly, above, higher
80	urgent	urgent	3	SantaAI	SantaAI/単語集/5月/知らない単語集0524.md,SantaAI/単語集/6月/知らない単語集0602.md,SantaAI/単語集/6月/知らない単語集0621.md	SantaAI/単語集/5月/知らない単語集0524.md	SantaAI/単語集/5月/知らない単語集0524.md	SantaAI/SantaAI_pronunciation/audio/080_urgent.mp3	緊急の；差し迫った		ÛR-jənt	pressing, immediate, critical
81	visible	visible	3	Archaeology,Philosophy,SantaAI	Archaeology/03/03words.md,Philosophy/27words.md,SantaAI/単語集/5月/知らない単語集0526.md	Archaeology/03/03words.md	Archaeology/03/03words_pronunciation/index.html	Archaeology/03/03words_pronunciation/audio/002_visible.mp3	目に見える、視認できる		VĬZ-ĭ-bəl	apparent, observable, noticeable
82	vulnerable	vulnerable	3	MediaStudies,SantaAI	MediaStudies/52words.md,SantaAI/単語集/5月/知らない単語集0524.md,SantaAI/単語集/5月/知らない単語集0526.md	MediaStudies/52words.md	MediaStudies/52words_pronunciation/index.html	MediaStudies/52words_pronunciation/audio/010_vulnerable.mp3	脆弱な；影響を受けやすい		VŬL-nər-ə-bəl	susceptible, exposed, fragile
83	whether	whether	3	BusinessAsministration&Economics,Medicine,SantaAI	BusinessAsministration&Economics/11words.md,Medicine/56words.md,SantaAI/単語集/5月/知らない単語集0518.md	BusinessAsministration&Economics/11words.md	BusinessAsministration&Economics/11words_pronunciation/index.html	BusinessAsministration&Economics/11words_pronunciation/audio/023_whether.mp3	〜かどうか		HWETH-ər	if, regardless, either-way
84	ability	ability	2	AmericanHistory,Environmentology	AmericanHistory/10words.md,Environmentology/13words.md	AmericanHistory/10words.md	AmericanHistory/10words_pronunciation/index.html	AmericanHistory/10words_pronunciation/audio/042_ability.mp3	能力；できること		ə-BĬL-ə-tē	capacity, capability, competence
85	abolition	abolition	2	AmericanHistory	AmericanHistory/08words.md,AmericanHistory/09words.md	AmericanHistory/08words.md	AmericanHistory/08words_pronunciation/index.html	AmericanHistory/08words_pronunciation/audio/024_abolition.mp3	廃止；撤廃		ab-ə-LI-shən	elimination, ending, repeal
86	according to	according to	2	Philosophy,SantaAI	Philosophy/27words.md,SantaAI/単語集/5月/知らない単語集0523.md	Philosophy/27words.md	Philosophy/27words_pronunciation/index.html	Philosophy/27words_pronunciation/audio/005_according_to.mp3	〜によれば；〜に従って			as stated by, in accordance with, as per
87	adaptation	adaptation	2	Ethnology,SantaAI	Ethnology/EthnoogyandIdentity.md,SantaAI/単語集/5月/知らない単語集0524.md	Ethnology/EthnoogyandIdentity.md	Ethnology/EthnoogyandIdentity.md	Ethnology/Ethnology_pronunciation/audio/087_adaptation.mp3	適応、順応；改作		äd-əp-TĀ-shən	adjustment, modification, acclimatization
88	advertising	advertising	2	SantaAI	SantaAI/単語集/5月/知らない単語集0528.md,SantaAI/単語集/5月/知らない単語集0529.md	SantaAI/単語集/5月/知らない単語集0528.md	SantaAI/単語集/5月/知らない単語集0528.md	SantaAI/SantaAI_pronunciation/audio/088_advertising.mp3	広告；広告活動		AD-vər-tī-zĭng	promotion, marketing, publicity
89	aiming	aiming	2	Biology,SantaAI	Biology/43words.md,SantaAI/単語集/5月/知らない単語集0522.md	Biology/43words.md	Biology/43words_pronunciation/index.html	Biology/43words_pronunciation/audio/040_aiming.mp3	目指している；狙っている	aim	Ā-mĭng	targeting, directing, intending
90	airborne	airborne	2	SantaAI	SantaAI/単語集/5月/知らない単語集0524.md,SantaAI/単語集/6月/知らない単語集0608.md	SantaAI/単語集/5月/知らない単語集0524.md	SantaAI/単語集/5月/知らない単語集0524.md	SantaAI/SantaAI_pronunciation/audio/090_airborne.mp3	空中を運ばれる；空気中の		ÂR-bôrn	in the air, windborne, aerial
91	align	align	2	SantaAI	SantaAI/単語集/5月/知らない単語集0530.md	SantaAI/単語集/5月/知らない単語集0530.md	SantaAI/単語集/5月/知らない単語集0530.md	SantaAI/SantaAI_pronunciation/audio/091_align.mp3	一致させる；整列させる		ə-LĪN	match, coordinate, line up
92	allocate	allocate	2	SantaAI	SantaAI/単語集/5月/知らない単語集0528.md,SantaAI/単語集/6月/知らない単語集0616.md	SantaAI/単語集/5月/知らない単語集0528.md	SantaAI/単語集/5月/知らない単語集0528.md	SantaAI/SantaAI_pronunciation/audio/092_allocate.mp3	割り当てる；配分する		AL-ə-kāt	assign, distribute, allot
93	amendment	amendment	2	Law	Law/18words.md	Law/18words.md	Law/pronunciation/index.html	Law/18words_pronunciation/audio/006_amendments.mp3	改正；修正条項		ə-MĔND-mənt	revision, modification, alteration
94	ancient	ancient	2	Archaeology,SantaAI	Archaeology/04/04words.md,SantaAI/単語集/5月/知らない単語集0529.md	Archaeology/04/04words.md	Archaeology/04/04words_pronunciation/index.html	Archaeology/04/04words_pronunciation/audio/001_ancient.mp3	古代の、太古の、非常に古い		ĀN-shənt	old, antique, archaic
95	anemophily	anemophily	2	SantaAI	SantaAI/単語集/5月/知らない単語集0524.md,SantaAI/単語集/6月/知らない単語集0608.md	SantaAI/単語集/5月/知らない単語集0524.md	SantaAI/単語集/5月/知らない単語集0524.md	SantaAI/SantaAI_pronunciation/audio/095_anemophily.mp3	風媒；風による受粉		an-ə-MÄF-ə-lē	wind pollination, wind fertilization, airborne pollination
96	appeared	appeared	2	Biology,Theater	Biology/41words.md,Theater/26words.md	Biology/41words.md	Biology/41words_pronunciation/index.html	Biology/41words_pronunciation/audio/035_appeared.mp3	現れた；出現した	appear	ə-PĬRD	emerged, showed up, arose
97	applies	applies	2	Ethnology,Physics	Ethnology/EthnoogyandIdentity.md,Physics/60words.md	Ethnology/EthnoogyandIdentity.md	Ethnology/EthnoogyandIdentity.md	Ethnology/Ethnology_pronunciation/audio/097_applies.mp3	適用する、当てはまる	apply	ə-PLĪ	relate, pertain, concern
98	approval	approval	2	SantaAI	SantaAI/単語集/5月/知らない単語集0517.md,SantaAI/単語集/6月/知らない単語集0611.md	SantaAI/単語集/5月/知らない単語集0517.md	SantaAI/単語集/5月/知らない単語集0517.md	SantaAI/SantaAI_pronunciation/audio/098_approval.mp3	承認、賛成、許可		ə-PROO-vəl	consent, endorsement, acceptance
99	arrange	arrange	2	SantaAI	SantaAI/単語集/5月/知らない単語集0524.md,SantaAI/単語集/5月/知らない単語集0527.md	SantaAI/単語集/5月/知らない単語集0524.md	SantaAI/単語集/5月/知らない単語集0524.md	SantaAI/SantaAI_pronunciation/audio/099_arrange.mp3	手配する；整える		ə-RĀNJ	organize, schedule, prepare
100	arthropods	arthropods	2	SantaAI	SantaAI/単語集/5月/知らない単語集0524.md,SantaAI/単語集/5月/知らない単語集0530.md	SantaAI/単語集/5月/知らない単語集0524.md	SantaAI/単語集/5月/知らない単語集0524.md	SantaAI/SantaAI_pronunciation/audio/100_arthropods.mp3	節足動物	arthropod	ÄR-thrə-pädz	joint-legged animals, insects, crustaceans
101	aspect	aspect	2	Medicine,SantaAI	Medicine/58words.md,SantaAI/単語集/5月/知らない単語集0513.md	Medicine/58words.md	Medicine/58words_pronunciation/index.html		側面；観点		AS-pekt	facet, dimension, angle
102	asserted	asserted	2	AmericanHistory,Linguistics	AmericanHistory/08words.md,Linguistics/21words.md	AmericanHistory/08words.md	AmericanHistory/08words_pronunciation/index.html		断言した；主張した	assert	ə-SERT	claimed, declared, maintained
103	assignment	assignment	2	SantaAI	SantaAI/単語集/5月/知らない単語集0517.md,SantaAI/単語集/5月/知らない単語集0523.md	SantaAI/単語集/5月/知らない単語集0517.md	SantaAI/単語集/5月/知らない単語集0517.md		課題、任務、割り当て		ə-SĪN-mənt	task, homework, project
104	atoms	atoms	2	Optics,SantaAI	Optics/51words.md,SantaAI/単語集/6月/知らない単語集0604.md	Optics/51words.md	Optics/51words_pronunciation/index.html		原子	atom	ĂT-əmz	atomic particles, elements, atoms
105	belonging	belonging	2	SantaAI	SantaAI/単語集/5月/知らない単語集0520.md,SantaAI/単語集/6月/知らない単語集0603.md	SantaAI/単語集/5月/知らない単語集0520.md	SantaAI/単語集/5月/知らない単語集0520.md		所属感；持ち物		bĭ-LÔNG-ĭng	attachment, possession, connectedness
106	biodiversity	biodiversity	2	Environmentology,SantaAI	Environmentology/13words.md,SantaAI/単語集/6月/知らない単語集0602.md	Environmentology/13words.md	Environmentology/13words_pronunciation/index.html		生物多様性		bī-ō-dī-VƏR-sə-tē	ecological variety, species richness, biological diversity
107	bonds	bonds	2	SantaAI	SantaAI/単語集/5月/知らない単語集0513.md,SantaAI/単語集/5月/知らない単語集0527.md	SantaAI/単語集/5月/知らない単語集0513.md	SantaAI/単語集/5月/知らない単語集0513.md		絆；結びつき；債券	bond	BŎNDZ	ties, connections, links
108	buried	buried	2	Archaeology,SantaAI	Archaeology/04/04words.md,SantaAI/単語集/5月/知らない単語集0529.md	Archaeology/04/04words.md	Archaeology/04/04words_pronunciation/index.html		埋められた、埋葬された	bury	BĔR-ēd	interred, entombed, inhumed
109	but also	but also	2	ComputerScience,SantaAI	ComputerScience/44words.md,SantaAI/単語集/5月/知らない単語集0523.md	ComputerScience/44words.md	ComputerScience/44words_pronunciation/index.html		だけでなく〜も		bət ÔL-sō	and also, as well as, not only
110	calm	calm	2	SantaAI	SantaAI/単語集/5月/知らない単語集0527.md,SantaAI/単語集/6月/知らない単語集0615.md	SantaAI/単語集/5月/知らない単語集0527.md	SantaAI/単語集/5月/知らない単語集0527.md		落ち着いた；冷静な		käm	composed, relaxed, peaceful
111	chamber	chamber	2	Optics	Optics/51words.md	Optics/51words.md	Optics/51words_pronunciation/index.html		室；区画		CHĀM-bər	compartment, cavity, enclosure
112	civilization	civilization	2	History,SantaAI	History/07words.md,SantaAI/単語集/6月/知らない単語集0603.md	History/07words.md	History/07words_pronunciation/index.html		文明、文明社会		sìv-ə-lə-ZĀ-shən	culture, society, advancement
113	commerce	commerce	2	SantaAI	SantaAI/単語集/5月/知らない単語集0524.md,SantaAI/単語集/5月/知らない単語集0528.md	SantaAI/単語集/5月/知らない単語集0524.md	SantaAI/単語集/5月/知らない単語集0524.md		商業；取引		KÄ-mərs	trade, business, exchange
114	competence	competence	2	BusinessAsministration&Economics,Linguistics	BusinessAsministration&Economics/11words.md,Linguistics/21words.md	BusinessAsministration&Economics/11words.md	BusinessAsministration&Economics/11words_pronunciation/index.html		能力；有能さ		KOM-pə-təns	ability, proficiency, capability
115	complementary	complementary	2	SantaAI	SantaAI/単語集/5月/知らない単語集0520.md,SantaAI/単語集/6月/知らない単語集0607.md	SantaAI/単語集/5月/知らない単語集0520.md	SantaAI/単語集/5月/知らない単語集0520.md		補完的な、補足し合う		kŏm-plə-MEN-tə-rē	matching, supplementary, compatible
116	composition	composition	2	SantaAI	SantaAI/単語集/5月/知らない単語集0520.md,SantaAI/単語集/6月/知らない単語集0602.md	SantaAI/単語集/5月/知らない単語集0520.md	SantaAI/単語集/5月/知らない単語集0520.md		構成、構図、作文		kŏm-pə-ZĬSH-ən	structure, arrangement, layout
117	comprehensive	comprehensive	2	Archaeology,Ethnology	Archaeology/03/03words.md,Ethnology/EthnoogyandIdentity.md	Archaeology/03/03words.md	Archaeology/03/03words_pronunciation/index.html		包括的な、総合的な、網羅的な		kòm-prə-HĔN-sĭv	thorough, extensive, exhaustive
118	condenses	condenses	2	EarthScience	EarthScience/47words.md	EarthScience/47words.md	EarthScience/47words_pronunciation/index.html		凝結する	condense	kən-DĔNS-ĭz	liquefies, forms droplets, turns into liquid
119	conduct	conduct	2	SantaAI	SantaAI/単語集/5月/知らない単語集0525.md,SantaAI/単語集/6月/知らない単語集0604.md	SantaAI/単語集/5月/知らない単語集0525.md	SantaAI/単語集/5月/知らない単語集0525.md		伝導する；実施する		kən-DŬKT	carry, transmit, perform
120	conduction	conduction	2	SantaAI	SantaAI/単語集/5月/知らない単語集0525.md,SantaAI/単語集/6月/知らない単語集0609.md	SantaAI/単語集/5月/知らない単語集0525.md	SantaAI/単語集/5月/知らない単語集0525.md		伝導		kən-DŬK-shən	heat transfer, conductivity process, transmission
121	conductivity	conductivity	2	SantaAI	SantaAI/単語集/5月/知らない単語集0525.md,SantaAI/単語集/6月/知らない単語集0604.md	SantaAI/単語集/5月/知らない単語集0525.md	SantaAI/単語集/5月/知らない単語集0525.md		伝導性；導電性		kän-dŭk-TĬV-ə-tē	conductance, transmissibility, heat transfer capacity
122	confine	confine	2	Law,SantaAI	Law/18words.md,SantaAI/単語集/6月/知らない単語集0601.md	Law/18words.md	Law/pronunciation/index.html		制限する；閉じ込める		kən-FĪN	restrict, limit, enclose
123	confirmation	confirmation	2	SantaAI	SantaAI/単語集/5月/知らない単語集0520.md,SantaAI/単語集/6月/知らない単語集0616.md	SantaAI/単語集/5月/知らない単語集0520.md	SantaAI/単語集/5月/知らない単語集0520.md		確認、確証		kän-fər-MĀ-shən	verification, validation, affirmation
124	convection	convection	2	SantaAI	SantaAI/単語集/5月/知らない単語集0525.md,SantaAI/単語集/6月/知らない単語集0609.md	SantaAI/単語集/5月/知らない単語集0525.md	SantaAI/単語集/5月/知らない単語集0525.md		対流		kən-VEK-shən	fluid circulation, convective transfer, flow-based transfer
125	conventional	conventional	2	Linguistics,SantaAI	Linguistics/20words.md,SantaAI/単語集/5月/知らない単語集0523.md	Linguistics/20words.md	Linguistics/20words_pronunciation/index.html		慣習的な；従来の；一般的な		kən-VĔN-shən-əl	traditional, customary, standard
126	convergence	convergence	2	AmericanHistory,Geology	AmericanHistory/06words.md,Geology/54words.md	AmericanHistory/06words.md	AmericanHistory/06words_pronunciation/index.html		集中、収束；（文化・人々などの）融合、集まり		kən-VÛR-jəns	merging, confluence, gathering
127	Convergent	convergent	2	EarthScience,Geology	EarthScience/47words.md,Geology/54words.md	EarthScience/47words.md	EarthScience/47words_pronunciation/index.html		収束する；集中する		kən-VÛR-jənt	meeting, coming together, converging
128	coordinating	coordinating	2	SantaAI	SantaAI/単語集/5月/知らない単語集0517.md,SantaAI/単語集/6月/知らない単語集0609.md	SantaAI/単語集/5月/知らない単語集0517.md	SantaAI/単語集/5月/知らない単語集0517.md		調整している、まとめている	coordinate	kō-ÔR-dĭ-nā-tĭng	organizing, managing, arranging
